depth: 1, iteration: 0, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 79.03861236572266, s1: 0.011216425336897373, s5: 0.00892330426722765

depth: 1, iteration: 1000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 75.78597259521484, s1: 7.029460906982422, s5: 5.428186893463135

depth: 1, iteration: 2000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 73.38119506835938, s1: 9.998345375061035, s5: 7.671198844909668

depth: 1, iteration: 3000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 71.84012603759766, s1: 11.364469528198242, s5: 8.634650230407715

depth: 1, iteration: 4000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.96674346923828, s1: 12.089022636413574, s5: 9.065783500671387

depth: 1, iteration: 5000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.54544067382812, s1: 12.4862642288208, s5: 9.25849437713623

depth: 1, iteration: 6000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.37664031982422, s1: 12.667059898376465, s5: 9.34746265411377

depth: 1, iteration: 7000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.3271255493164, s1: 12.721607208251953, s5: 9.385011672973633

depth: 1, iteration: 8000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.319580078125, s1: 12.72922420501709, s5: 9.393102645874023

depth: 1, iteration: 9000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.3192138671875, s1: 12.729570388793945, s5: 9.393538475036621

depth: 1, iteration: 10000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.3192138671875, s1: 12.729557991027832, s5: 9.39356517791748

depth: 1, iteration: 11000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.3192138671875, s1: 12.729496955871582, s5: 9.393568992614746

depth: 1, iteration: 12000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31917572021484, s1: 12.729620933532715, s5: 9.393549919128418

depth: 1, iteration: 13000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.3192138671875, s1: 12.729531288146973, s5: 9.393546104431152

depth: 1, iteration: 14000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31917572021484, s1: 12.729597091674805, s5: 9.393571853637695

depth: 1, iteration: 15000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.3192138671875, s1: 12.72948169708252, s5: 9.393575668334961

depth: 1, iteration: 16000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31924438476562, s1: 12.729557037353516, s5: 9.393548011779785

depth: 1, iteration: 17000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31928253173828, s1: 12.729533195495605, s5: 9.393531799316406

depth: 1, iteration: 18000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.3192138671875, s1: 12.729535102844238, s5: 9.393531799316406

depth: 1, iteration: 19000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.3192138671875, s1: 12.72955322265625, s5: 9.39355182647705

depth: 1, iteration: 20000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.3192138671875, s1: 12.729533195495605, s5: 9.393572807312012

depth: 1, iteration: 21000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.3192138671875, s1: 12.729551315307617, s5: 9.393571853637695

depth: 1, iteration: 22000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.3192138671875, s1: 12.729578018188477, s5: 9.393571853637695

depth: 1, iteration: 23000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31924438476562, s1: 12.729589462280273, s5: 9.393570899963379

depth: 1, iteration: 24000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31924438476562, s1: 12.729522705078125, s5: 9.393555641174316

depth: 1, iteration: 25000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.3192138671875, s1: 12.729613304138184, s5: 9.393512725830078

depth: 1, iteration: 26000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.3192138671875, s1: 12.729482650756836, s5: 9.393575668334961

depth: 1, iteration: 27000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.3192138671875, s1: 12.72960376739502, s5: 9.393572807312012

depth: 1, iteration: 28000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.3192138671875, s1: 12.729551315307617, s5: 9.393571853637695

depth: 1, iteration: 29000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.3192138671875, s1: 12.729551315307617, s5: 9.393571853637695

