depth: 1, iteration: 0, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 80.2417984008789, s1: 0.0019284685840830207, s5: 0.0017753241118043661

depth: 1, iteration: 20000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31210327148438, s1: 0.2520705759525299, s5: 0.18604685366153717

depth: 1, iteration: 40000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31404876708984, s1: 0.49913790822029114, s5: 0.36836305260658264

depth: 1, iteration: 60000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31549072265625, s1: 0.7413155436515808, s5: 0.5470744371414185

depth: 1, iteration: 80000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31632995605469, s1: 0.9786916375160217, s5: 0.7222380042076111

depth: 1, iteration: 100000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31683349609375, s1: 1.2113652229309082, s5: 0.8939515948295593

depth: 1, iteration: 120000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31716918945312, s1: 1.4394543170928955, s5: 1.0622484683990479

depth: 1, iteration: 140000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31763458251953, s1: 1.6629793643951416, s5: 1.2272286415100098

depth: 1, iteration: 160000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31784057617188, s1: 1.8821028470993042, s5: 1.3889166116714478

depth: 1, iteration: 180000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31806945800781, s1: 2.096884250640869, s5: 1.547404408454895

depth: 1, iteration: 200000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31810760498047, s1: 2.307422637939453, s5: 1.702781081199646

depth: 1, iteration: 220000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31827545166016, s1: 2.5137646198272705, s5: 1.8551043272018433

depth: 1, iteration: 240000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31847381591797, s1: 2.716012716293335, s5: 2.0043833255767822

depth: 1, iteration: 260000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31847381591797, s1: 2.914295196533203, s5: 2.15067720413208

depth: 1, iteration: 280000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31834411621094, s1: 3.1086671352386475, s5: 2.2941431999206543

depth: 1, iteration: 300000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31874084472656, s1: 3.2990927696228027, s5: 2.4346463680267334

depth: 1, iteration: 320000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31887817382812, s1: 3.485792636871338, s5: 2.572503089904785

depth: 1, iteration: 340000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31874084472656, s1: 3.6687521934509277, s5: 2.7074828147888184

depth: 1, iteration: 360000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.3189468383789, s1: 3.84820294380188, s5: 2.839979648590088

depth: 1, iteration: 380000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31880950927734, s1: 4.023958206176758, s5: 2.969637870788574

depth: 1, iteration: 400000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31871032714844, s1: 4.196346282958984, s5: 3.09686541557312

depth: 1, iteration: 420000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31887817382812, s1: 4.3652191162109375, s5: 3.221557140350342

